Name,  m9, m10,m12,m6, m5
Model,p18.6, p18.6, n18.9, n18.9, n18.9
Id, -8.00e-06,-8.07e-06, 4.03e-06, 4.03e-06, 4.04e-06
Vgs,-1.00e+00,-1.00e+00, 4.03e-01, 4.06e-01, 4.06e-01
Vds,-1.00e+00,-1.38e+00, 3.43e-01, 3.97e-01, 5.10e-01
Vbs, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00
Vth,-4.00e-01,-3.99e-01, 3.78e-01, 3.87e-01, 3.87e-01
Vdsat, -4.79e-01,-4.79e-01, 6.85e-02, 6.62e-02, 6.62e-02
Gm,  2.41e-05, 2.44e-05, 8.31e-05, 8.45e-05, 8.46e-05
Gds, 2.34e-07, 1.54e-07, 7.68e-08, 8.42e-08, 5.55e-08
Gmb,  7.44e-06, 7.52e-06, 1.96e-05, 1.97e-05, 1.98e-05
Cbd, 4.25e-15, 4.00e-15, 1.39e-14, 1.37e-14, 1.33e-14
Cbs, 5.52e-15, 5.52e-15, 1.56e-14, 1.56e-14, 1.56e-14
Cgsov,  3.12e-16, 3.12e-16, 8.80e-15, 5.94e-15, 5.94e-15
Cgdov,  3.12e-16, 3.12e-16, 8.80e-15, 5.94e-15, 5.94e-15
Cgbov,  0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00
dQgdVgb,1.05e-14, 1.05e-14, 1.02e-12, 4.17e-13, 4.17e-13
dQgdVdb,  -3.19e-16,-3.14e-16,-1.12e-14,-6.48e-15,-6.18e-15
dQgdVsb,  -9.23e-15,-9.23e-15,-8.03e-13,-3.26e-13,-3.26e-13
dQddVgb,  -4.34e-15,-4.34e-15,-3.96e-13,-1.61e-13,-1.61e-13
dQddVdb,4.56e-15, 4.31e-15, 2.46e-14, 2.01e-14, 1.94e-14
dQddVsb,5.24e-15, 5.24e-15, 4.83e-13, 1.93e-13, 1.93e-13
dQbdVgb,  -1.77e-15,-1.78e-15,-2.25e-13,-9.52e-14,-9.54e-14
dQbdVdb,  -4.25e-15,-4.00e-15,-1.52e-14,-1.40e-14,-1.35e-14
dQbdVsb,  -7.08e-15,-7.07e-15,-1.88e-13,-8.21e-14,-8.20e-14
